央视频道,#genre#
CCTV2,http://111.227.71.118:7000/rtp/239.254.200.158:6000
CCTV2,http://58.19.182.187:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://221.15.5.22:8888/rtp/225.1.4.74:1103
CCTV2,http://36.49.51.153:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://220.173.254.29:6666/rtp/239.81.0.115:4056
CCTV2,http://36.49.53.197:8800/rtp/239.37.0.3:5540
CCTV2,http://60.174.40.117:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://175.148.108.206:8888/rtp/232.0.0.132:9144
CCTV2,http://125.69.91.98:8866/rtp/239.93.1.23:6000
CCTV2,http://111.196.132.180:20000/rtp/239.3.1.60:8084
CCTV2,http://117.57.50.225:8888/rtp/238.1.78.235:7752
CCTV2,http://124.235.218.240:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://118.183.212.5:6868/rtp/239.255.30.179:8231
CCTV2,http://117.57.50.223:8888/rtp/238.1.78.235:7752
CCTV2,http://59.175.44.4:4000/rtp/239.69.1.102:10250
CCTV2,http://114.252.126.65:7000/rtp/239.3.1.60:8084
CCTV2,http://218.89.240.144:59901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://61.178.184.39:8029/rtp/239.255.30.179:8231
CCTV2,http://112.235.200.61:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://58.20.32.90:10999/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://113.57.103.216:9000/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://60.208.44.186:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://14.145.225.144:8888/rtp/239.77.1.158:5146
CCTV2,http://115.231.200.110:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://113.57.21.233:8666/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://222.89.107.42:9876/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://124.165.251.82:9999/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://36.249.165.157:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://121.19.134.153:808/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://223.151.49.74:59901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://113.120.108.229:4000/rtp/239.21.2.45:5002
CCTV3,http://1.30.179.90:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://183.184.60.251:8085/rtp/226.0.2.208:9576
CCTV3,http://60.174.40.117:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://36.49.57.42:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://218.18.6.142:8888/rtp/239.77.0.175:5146
CCTV3,http://218.18.6.142:8888/rtp/239.77.0.169:5146
CCTV3,http://36.49.53.197:8800/rtp/239.37.0.231:5540
CCTV3,http://183.94.1.118:8801/tsfile/live/0003_1.m3u8?key=txiptv
